id,site,url
79,https://yandex.ru/,https://yandex.ru/news/story/Moshenniki_pridumali_novuyu_skhemu_obmana_rossiyan_cherezvklady--d800fb567cec2a5408b773326de33b13?lang=ru&rubric=index&fan=1&stid=qJrxPbrNDPbi4mp578M_&t=1617525449&tt=true&persistent_id=139302895
80,https://yandex.ru/,https://yandex.ru/news/story/VRossii_vyyavili_8817_novykh_sluchaev_koronavirusa--215f3b0cb2bff6124fafb03fae6a47e8?lang=ru&rubric=index&fan=1&stid=n4EFGjehY7sC-JtMTSEz&t=1617525449&tt=true&persistent_id=139314132
81,https://yandex.ru/,https://yandex.ru/news/story/NaUkraine_zayavili_ovygovore_Bajdena_Zelenskomu--112939b0ed13d30f5c92549059ecbd73?lang=ru&rubric=index&fan=1&stid=IUL13vi7595ebhRqHZFg&t=1617525449&tt=true&persistent_id=139299697
82,https://yandex.ru/,https://yandex.ru/news/story/Musaev_pokinul_post_glavnogo_trenera_FK_Krasnodar--7f8a55d0884ece9421402f32cd3be890?lang=ru&rubric=index&fan=1&stid=SJrM1R13qTYkab-wHIfC&t=1617525449&tt=true&persistent_id=139282333
83,https://yandex.ru/,https://yandex.ru/news/story/Kravchuk_potreboval_isklyuchit_predstavitelya_DNR_izperegovorov_poDonbassu--0fb0b2679167dc7b9b3945c6a2d01e1e?lang=ru&rubric=index&fan=1&stid=sxK-ySPh8_Xhg972U8VE&t=1617525449&tt=true&persistent_id=139280596
84,https://yandex.ru/,https://yandex.ru/news/story/Proizvodstvo_vakciny_AstraZeneca_prekrashheno_nazavode_vBaltimore_vSSHA--b6c50e73ce38bba384b67452b4e9cc08?lang=ru&rubric=index&fan=1&stid=-VQUfAaQM9eZOIXXqp4u&t=1617525449&tt=true&persistent_id=139299065
85,https://yandex.ru/,https://yandex.ru/news/story/Nafone_borby_smatom_vsocsetyakh_rossiyane_stali_chashhe_ego_ispolzovat--3a26fddd96f28464724f6668db66cb74?lang=ru&rubric=index&fan=1&stid=s48nLhLTAqSXA4ann-Kb&t=1617525449&tt=true&persistent_id=139309348
86,https://yandex.ru/,https://yandex.ru/news/story/Prezident_Argentiny_posle_polozhitelnogo_testa_nakoronavirus_podcherknul_vazhnost_vakcin--ced3885a2fe74b0c9c65ac8a3a804061?lang=ru&rubric=index&fan=1&stid=pD9kIfDW9veTJKq--Sjk&t=1617525449&tt=true&persistent_id=139249546
87,https://yandex.ru/,https://yandex.ru/news/story/Byvshij_naslednyj_princ_Iordanii_podtverdil_zaklyuchenie_podstrazhu_vvideoobrashhenii--5391e1c5ee09d895b8749e957f6f4f0d?lang=ru&rubric=index&fan=1&stid=er9WqN9OBi5Gc1GBOTYm&t=1617525449&tt=true&persistent_id=139288810
88,https://yandex.ru/,https://yandex.ru/news/story/Berega_Sakhalina_usypalo_seldyu--876a67c25489e38016c31e5fb9a2f5e9?lang=ru&rubric=index&fan=1&stid=ZPi-Yl1-UyjSQE9jx_fY&t=1617525449&tt=true&persistent_id=139016546
