id,site,url
46,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwirjM_UvOLvAhXG4IUKHVj9DVIQ8qwCCAM&usg=AOvVaw3IaDoNmnGWN8kubm2XC3Q_
47,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjgnL3VvOLvAhVB9IUKHbXFBlsQ8KwCCAE&usg=AOvVaw0x1u4_rn2QTbxskl3QZ75J
48,http://google.com/,http://google.com/url?url=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjgnL3VvOLvAhVB9IUKHbXFBlsQ8awCCAI&usg=AOvVaw1p0jenXnV4dxWQEM02zHmf
49,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjgnL3VvOLvAhVB9IUKHbXFBlsQ8qwCCAM&usg=AOvVaw1L9SuvDAHxmEF_BgHxOPDy
50,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwijwaTWvOLvAhWQzIUKHalCCiAQ8KwCCAE&usg=AOvVaw1m55a-B2gDQO0fyUzJ2qK6
51,http://google.com/,http://google.com/url?url=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwijwaTWvOLvAhWQzIUKHalCCiAQ8awCCAI&usg=AOvVaw3xXbjuGztBkhzcV_w5p9Il
52,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwijwaTWvOLvAhWQzIUKHalCCiAQ8qwCCAM&usg=AOvVaw3Rva28hdM_jhT6nu7cbL9D
53,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjX7ZLXvOLvAhWiz4UKHW9bDbEQ8KwCCAE&usg=AOvVaw234tTfOGzE49j9a2j9T2cw
54,http://google.com/,http://google.com/url?url=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjX7ZLXvOLvAhWiz4UKHW9bDbEQ8awCCAI&usg=AOvVaw045tGZe0v73Y7JMPGDeIF9
55,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjX7ZLXvOLvAhWiz4UKHW9bDbEQ8qwCCAM&usg=AOvVaw3_W2PjlpMThyZD4RsNXWt5
56,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjHpYHYvOLvAhUszIUKHc_sBZUQ8KwCCAE&usg=AOvVaw3ufTaji3gHf-vPrJkS6CHn
57,http://google.com/,http://google.com/url?url=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjHpYHYvOLvAhUszIUKHc_sBZUQ8awCCAI&usg=AOvVaw2eauc7gGW4RqXfFVVwe_Ph
58,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjHpYHYvOLvAhUszIUKHc_sBZUQ8qwCCAM&usg=AOvVaw22KSTWLBmfXDuJ8fRjMAQN
59,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiovenYvOLvAhXwzIUKHRG8AJUQ8KwCCAE&usg=AOvVaw3Y095DWZ_9E9PPOp_0v4Tx
60,http://google.com/,http://google.com/url?url=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiovenYvOLvAhXwzIUKHRG8AJUQ8awCCAI&usg=AOvVaw0TzXnO7u69YhxloI7kf-wg
61,http://google.com/,http://google.com/url?url=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiovenYvOLvAhXwzIUKHRG8AJUQ8qwCCAM&usg=AOvVaw3HCpX5G2KtynVmFZ-bQqtb
62,http://google.com/,http://google.com/url?url=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiBmtPZvOLvAhUvyIUKHbnjAKcQ8KwCCAE&usg=AOvVaw3LOChZfMZN_Zn8rO7AMqWX
